ti_st_array	ti_end_array	pi_array
0	0.0613	NP-NP
0.0613	0.1226	NP-H
0.1226	0.1839	H-H
0.1839	0.2452	H-NP
0.2452	0.3065	NP-H
0.3065	0.3678	H-H
0.3678	0.4291	H-VH
0.4291	0.4904	VH-NP
0.4904	0.5517	NP-VH
0.5517	0.613	VH-VH
0.613	0.6743	VH-H
0.6743	0.7356	H-L
0.7356	0.7969	L-L
0.7969	0.8582	L-L
0.8582	0.9195	L-NP
0.9195	0.9808	NP-NP
0.9808	1.0421	NP-H
1.0421	1.1034	H-H
1.1034	1.1647	H-H
1.1647	1.226	H-NP
1.226	1.2873	NP-H
1.2873	1.3486	H-H
1.3486	1.4099	H-VH
1.4099	1.4712	VH-VL
1.4712	1.5325	VL-VL
1.5325	1.5938	VL-NP
1.5938	1.6551	NP-L
1.6551	1.7164	L-VL
1.7164	1.7777	VL-VL
1.7777	1.839	VL-VL
1.839	1.9003	VL-NP
1.9003	1.9616	NP-NP
1.9616	2.0229	NP-NP
2.0229	2.0842	NP-NP
2.0842	2.1455	NP-NP
2.1455	2.2068	NP-NP
2.2068	2.25	NP-NP
