ID	EGF_Baseline	EGF_Stimulus
FBgn0029994	-1.25	-0.27
FBgn0037191	-1.05	0.78
FBgn0036810	2.08	1.34
FBgn0033320	1.15	0.45
FBgn0051156	-1.77	-0.76
FBgn0004635	-0.77	-0.42
FBgn0260646	-0.92	0.97
FBgn0038397	0.04	0.22
FBgn0010583	-0.77	-0.59
FBgn0025583	-2.18	-2.13
FBgn0032906	-1.63	0.25
FBgn0031321	0.57	-0.42
FBgn0052568	0.69	0.39
FBgn0030674	-0.45	1.63
FBgn0085397	-1.19	-1.37
FBgn0038427	-0.17	0.38
FBgn0033233	-1.14	0.46
FBgn0033736	1.12	0.93
FBgn0033495	0.82	-0.33
FBgn0020503	0.06	-1.13
FBgn0031885	0.65	0.06
FBgn0067864	1.14	0.13
FBgn0035785	-1.26	-1.06
FBgn0039673	-1.24	1.01
